scenarioId,scenarioName,timeSlot,localDeparture,departureAt,timeZone,provider,executionMode,status,errorCode,matrixCompleteness,matrixResponseMs,optimizationMs,cacheHit,externalRequestCount,matrixElementsBilled,estimatedCost,currency,recommendedOrder,totalWorkMinutes,drivingMinutes,distanceKm,tonneKilometers,lateMinutes,waitingMinutes,directionalityPenalty,score,warnings
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-center","Miesto centras, trumpos atkarpos","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-center","Miesto centras, trumpos atkarpos","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-east","Rytinė Vilniaus dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-east","Rytinė Vilniaus dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-west","Vakarinė Vilniaus dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-west","Vakarinė Vilniaus dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-north","Šiaurinė miesto dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-north","Šiaurinė miesto dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-south-industrial","Pietinė ir pramoninė dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-south-industrial","Pietinė ir pramoninė dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-avizieniai","Avižienių kryptis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-avizieniai","Avižienių kryptis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-center","Miesto centras, trumpos atkarpos","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-center","Miesto centras, trumpos atkarpos","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-east","Rytinė Vilniaus dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-east","Rytinė Vilniaus dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-west","Vakarinė Vilniaus dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
