scenarioId,scenarioName,timeSlot,localDeparture,departureAt,timeZone,provider,executionMode,status,errorCode,matrixCompleteness,matrixResponseMs,optimizationMs,cacheHit,externalRequestCount,matrixElementsBilled,estimatedCost,currency,recommendedOrder,totalWorkMinutes,drivingMinutes,distanceKm,tonneKilometers,lateMinutes,waitingMinutes,directionalityPenalty,score,warnings
"vilnius-west","Vakarinė Vilniaus dalis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","150.281","29.636","false","1","64","","","vilnius-west-stop-6|vilnius-west-stop-1|vilnius-west-stop-4|vilnius-west-stop-5|vilnius-west-stop-2|vilnius-west-stop-3","122.15","51.15","27.854","29.839","0","0","11.029","0.195","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-north","Šiaurinė miesto dalis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","161.427","49.843","false","1","81","","","vilnius-north-stop-3|vilnius-north-stop-1|vilnius-north-stop-2|vilnius-north-stop-5|vilnius-north-stop-6|vilnius-north-stop-7|vilnius-north-stop-4","153.667","76.667","45.188","28.704","0","0","22.636","0.094","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-south-industrial","Pietinė ir pramoninė dalis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","160.376","33.46","false","1","64","","","vilnius-south-industrial-stop-2|vilnius-south-industrial-stop-1|vilnius-south-industrial-stop-3|vilnius-south-industrial-stop-6|vilnius-south-industrial-stop-4|vilnius-south-industrial-stop-5","158.333","83.333","54.388","36.907","0","0","22.507","0.118","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","155.885","35.733","false","1","64","","","vilnius-lentvaris-grigiskes-stop-6|vilnius-lentvaris-grigiskes-stop-5|vilnius-lentvaris-grigiskes-stop-4|vilnius-lentvaris-grigiskes-stop-3|vilnius-lentvaris-grigiskes-stop-2|vilnius-lentvaris-grigiskes-stop-1","137.033","67.033","45.94","31.326","0","0","13.162","0.18","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-avizieniai","Avižienių kryptis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","155.912","60.45","false","1","81","","","vilnius-avizieniai-stop-6|vilnius-avizieniai-stop-5|vilnius-avizieniai-stop-4|vilnius-avizieniai-stop-3|vilnius-avizieniai-stop-2|vilnius-avizieniai-stop-1|vilnius-avizieniai-stop-7","151.4","78.4","54.508","43.433","0","0","16.816","0.05","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.9","165.021","83.015","false","1","100","","","vilnius-mixed-stop-7|vilnius-mixed-stop-3|vilnius-mixed-stop-1|vilnius-mixed-stop-4|vilnius-mixed-stop-2|vilnius-mixed-stop-5|vilnius-mixed-stop-6|vilnius-mixed-stop-8","244.7","156.7","101.898","67.948","0","0","37.332","0.034","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-center","Miesto centras, trumpos atkarpos","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","123.138","35.794","false","1","64","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-1|vilnius-center-stop-2","139.483","81.483","34.95","14.539","0","0","5.985","0.03","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-east","Rytinė Vilniaus dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","177.568","48.644","false","1","81","","","vilnius-east-stop-1|vilnius-east-stop-6|vilnius-east-stop-5|vilnius-east-stop-4|vilnius-east-stop-3|vilnius-east-stop-2|vilnius-east-stop-7","176.783","100.783","53.026","44.823","0","0","7.82","0.049","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-west","Vakarinė Vilniaus dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","147.409","27.565","false","1","64","","","vilnius-west-stop-6|vilnius-west-stop-1|vilnius-west-stop-4|vilnius-west-stop-5|vilnius-west-stop-2|vilnius-west-stop-3","123.25","52.25","27.854","29.839","0","0","11.029","0.195","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-north","Šiaurinė miesto dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","123.498","49.098","false","1","81","","","vilnius-north-stop-3|vilnius-north-stop-1|vilnius-north-stop-2|vilnius-north-stop-5|vilnius-north-stop-6|vilnius-north-stop-7|vilnius-north-stop-4","154.817","77.817","45.188","28.704","0","0","22.636","0.094","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-south-industrial","Pietinė ir pramoninė dalis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","171.714","32.134","false","1","64","","","vilnius-south-industrial-stop-2|vilnius-south-industrial-stop-1|vilnius-south-industrial-stop-3|vilnius-south-industrial-stop-6|vilnius-south-industrial-stop-4|vilnius-south-industrial-stop-5","158.167","83.167","54.388","36.907","0","0","22.507","0.14","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","146.865","36.915","false","1","64","","","vilnius-lentvaris-grigiskes-stop-6|vilnius-lentvaris-grigiskes-stop-5|vilnius-lentvaris-grigiskes-stop-4|vilnius-lentvaris-grigiskes-stop-3|vilnius-lentvaris-grigiskes-stop-2|vilnius-lentvaris-grigiskes-stop-1","135.833","65.833","45.94","31.326","0","0","13.162","0.18","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-avizieniai","Avižienių kryptis","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","120.058","52.163","false","1","81","","","vilnius-avizieniai-stop-6|vilnius-avizieniai-stop-5|vilnius-avizieniai-stop-3|vilnius-avizieniai-stop-4|vilnius-avizieniai-stop-2|vilnius-avizieniai-stop-1|vilnius-avizieniai-stop-7","152.15","79.15","54.858","34.876","0","0","16.667","0.041","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","evening_peak","15:30","2026-08-03T12:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.9","153.783","78.068","false","1","100","","","vilnius-mixed-stop-7|vilnius-mixed-stop-3|vilnius-mixed-stop-1|vilnius-mixed-stop-4|vilnius-mixed-stop-6|vilnius-mixed-stop-5|vilnius-mixed-stop-2|vilnius-mixed-stop-8","263.483","175.483","105.743","72.81","0","0","24.33","0.054","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-center","Miesto centras, trumpos atkarpos","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","114.257","35.028","false","1","64","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-1|vilnius-center-stop-2","133.717","75.717","34.95","14.539","0","0","5.985","0.03","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-east","Rytinė Vilniaus dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","153.355","60.879","false","1","81","","","vilnius-east-stop-1|vilnius-east-stop-6|vilnius-east-stop-5|vilnius-east-stop-4|vilnius-east-stop-3|vilnius-east-stop-2|vilnius-east-stop-7","170.35","94.35","53.026","44.823","0","0","7.82","0.036","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-west","Vakarinė Vilniaus dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","115.778","34.364","false","1","64","","","vilnius-west-stop-6|vilnius-west-stop-1|vilnius-west-stop-4|vilnius-west-stop-5|vilnius-west-stop-2|vilnius-west-stop-3","121.8","50.8","27.854","29.839","0","0","11.029","0.195","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-north","Šiaurinė miesto dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","134.532","51.659","false","1","81","","","vilnius-north-stop-3|vilnius-north-stop-1|vilnius-north-stop-2|vilnius-north-stop-5|vilnius-north-stop-6|vilnius-north-stop-7|vilnius-north-stop-4","152.917","75.917","45.188","28.704","0","0","22.636","0.094","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-south-industrial","Pietinė ir pramoninė dalis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","131.398","30.999","false","1","64","","","vilnius-south-industrial-stop-2|vilnius-south-industrial-stop-1|vilnius-south-industrial-stop-3|vilnius-south-industrial-stop-6|vilnius-south-industrial-stop-4|vilnius-south-industrial-stop-5","155.417","80.417","54.388","36.907","0","0","22.507","0.118","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","130.909","32.687","false","1","64","","","vilnius-lentvaris-grigiskes-stop-6|vilnius-lentvaris-grigiskes-stop-5|vilnius-lentvaris-grigiskes-stop-4|vilnius-lentvaris-grigiskes-stop-3|vilnius-lentvaris-grigiskes-stop-2|vilnius-lentvaris-grigiskes-stop-1","132","62","45.94","31.326","0","0","13.162","0.14","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-avizieniai","Avižienių kryptis","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","118.476","50.234","false","1","81","","","vilnius-avizieniai-stop-6|vilnius-avizieniai-stop-5|vilnius-avizieniai-stop-3|vilnius-avizieniai-stop-4|vilnius-avizieniai-stop-2|vilnius-avizieniai-stop-1|vilnius-avizieniai-stop-7","151.983","78.983","54.858","34.876","0","0","16.667","0.062","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","late_evening","19:00","2026-08-03T16:00:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.9","135.464","70.086","false","1","100","","","vilnius-mixed-stop-7|vilnius-mixed-stop-3|vilnius-mixed-stop-1|vilnius-mixed-stop-4|vilnius-mixed-stop-2|vilnius-mixed-stop-5|vilnius-mixed-stop-6|vilnius-mixed-stop-8","241.783","153.783","101.898","67.948","0","0","37.332","0.032","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
